id,os
0,Android 13
1,Android 11
2,Android 12
3,Android 13
4,Android 11
5,Android 13
6,Android 12
7,Android 12
8,Android 10
9,Android 13
10,Android 11
11,Android 10
12,Android 13
13,Android 12
14,Android 12
15,Android 11
16,Android 11
17,Android 10
18,Android 11
19,Android 13
20,Android 13
21,Android 12
22,Android 12
23,Android 12
24,Android 10
25,Android 13
26,Android 10
27,Android 12
28,Android 10
29,Android 12
30,Android 13
31,Android 12
32,Android 13
33,Android 12
34,Android 13
35,Android 13
36,Android 12
37,Android 13
38,Android 11
39,Android 13
40,Android 11
41,Android 11
42,Android 11
43,Android 11
44,Android 12
45,Android 13
46,Android 13
47,Android 11
48,Android 12
49,Android 11
50,Android 12
51,Android 13
52,Android 13
53,Android 12
54,Android 12
55,Android 12
56,Android 10
57,Android 12
58,Android 12
59,Android 12
60,Android 11
61,Android 13
62,Android 11
63,Android 12
64,iOS 14
65,iOS 14
66,iOS 14
67,iOS 14
68,iOS 14
69,iOS 14
70,iOS 14
71,iOS 14
72,iOS 14
73,iOS 14
74,iOS 14
75,iOS 14
76,iOS 14
77,iOS 14
78,iOS 14
79,iOS 14
80,iOS 14
81,iOS 14
82,iOS 14
83,iOS 14
84,iOS 14
85,iOS 14
86,iOS 14
87,iOS 14
88,iOS 14
89,iOS 14
90,iOS 14
91,iOS 14
92,iOS 14
93,iOS 14
94,iOS 14
95,iOS 14
96,iOS 14
97,iOS 14
98,iOS 14
99,iOS 14
100,iOS 14
101,iOS 14
